GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BULL - Bean Utils Light Library,com.hotels.beans.transformer,AbstractTransformer,0,173,0,6,0,43,0,17,0,14
BULL - Bean Utils Light Library,com.hotels.beans.transformer,TransformerSettings,0,48,0,0,0,10,0,10,0,10
BULL - Bean Utils Light Library,com.hotels.beans.transformer,TransformerImpl,28,579,8,46,5,107,6,51,0,30
BULL - Bean Utils Light Library,com.hotels.beans.model,FieldMapping,6,15,0,0,1,3,1,3,1,3
BULL - Bean Utils Light Library,com.hotels.beans.model,FieldTransformer,14,40,0,2,3,7,3,6,3,5
BULL - Bean Utils Light Library,com.hotels.beans,BeanUtils,0,33,0,0,0,6,0,7,0,7
BULL - Bean Utils Light Library,com.hotels.beans.populator,ArrayPopulator,0,52,1,5,0,8,1,6,0,4
BULL - Bean Utils Light Library,com.hotels.beans.populator,CollectionPopulator,2,64,1,5,0,12,1,6,0,4
BULL - Bean Utils Light Library,com.hotels.beans.populator,PopulatorFactory,0,48,1,9,0,10,1,5,0,1
BULL - Bean Utils Light Library,com.hotels.beans.populator,Populator,0,75,0,2,0,14,0,7,0,6
BULL - Bean Utils Light Library,com.hotels.beans.populator,MapPopulator,0,133,2,16,0,22,2,13,0,6
BULL - Bean Utils Light Library,com.hotels.beans.populator,OptionalPopulator,0,28,0,4,0,9,0,4,0,2
