GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BULL - Common,com.hotels.transformer.utils,ReflectionUtils,37,1034,12,56,4,206,11,72,0,49
BULL - Common,com.hotels.transformer.utils,ClassUtils,5,1430,8,108,1,258,8,133,0,83
BULL - Common,com.hotels.transformer.validator,Validator,0,17,0,4,0,6,0,4,0,2
BULL - Common,com.hotels.transformer.validator,ValidatorImpl,0,85,0,2,0,24,0,9,0,8
BULL - Common,com.hotels.transformer.model,FieldTransformer,32,0,2,0,7,0,4,0,3,0
BULL - Common,com.hotels.transformer.model,TransformerSettings,21,0,0,0,5,0,1,0,1,0
BULL - Common,com.hotels.transformer.error,InstanceCreationException,0,5,0,0,0,2,0,1,0,1
BULL - Common,com.hotels.transformer.error,InvalidFunctionException,5,0,0,0,2,0,1,0,1,0
BULL - Common,com.hotels.transformer.error,InvalidBeanException,0,9,0,0,0,4,0,2,0,2
BULL - Common,com.hotels.transformer.error,MissingFieldException,0,4,0,0,0,2,0,1,0,1
BULL - Common,com.hotels.transformer.error,MissingMethodException,0,7,0,0,0,4,0,2,0,2
BULL - Common,com.hotels.transformer.constant,Punctuation,0,59,0,0,0,6,0,1,0,1
BULL - Common,com.hotels.transformer.constant,ClassType,7,34,2,0,1,4,2,1,1,1
BULL - Common,com.hotels.transformer.constant,MethodPrefix,0,38,0,0,0,5,0,2,0,2
BULL - Common,com.hotels.transformer.constant,Filters,0,40,2,6,0,8,2,6,0,4
BULL - Common,com.hotels.transformer,AbstractTransformer,123,0,4,0,27,0,9,0,7,0
BULL - Common,com.hotels.transformer.cache,CacheManager,0,60,0,4,0,12,0,8,0,6
BULL - Common,com.hotels.transformer.cache,CacheManagerFactory,0,21,0,0,0,3,0,3,0,3
BULL - Common,com.hotels.transformer.base,Defaults,0,50,0,16,0,14,0,9,0,1
